period,value,value-units
2021-01-06,264770,megawatthours
2021-01-05,254272,megawatthours
2021-01-04,255953,megawatthours
2021-01-03,232383,megawatthours
2021-01-02,240889,megawatthours
2021-01-01,230282,megawatthours
2020-12-31,244283,megawatthours
2020-12-30,254929,megawatthours
2020-12-29,251067,megawatthours
2020-12-28,253397,megawatthours
2020-12-27,234545,megawatthours
2020-12-26,232043,megawatthours
2020-12-25,241123,megawatthours
2020-12-24,255457,megawatthours
2020-12-23,267814,megawatthours
2020-12-22,265146,megawatthours
2020-12-21,264959,megawatthours
2020-12-20,245166,megawatthours
2020-12-19,248652,megawatthours
2020-12-18,261029,megawatthours
2020-12-17,260463,megawatthours
2020-12-16,266556,megawatthours
2020-12-15,266797,megawatthours
2020-12-14,261578,megawatthours
2020-12-13,251183,megawatthours
2020-12-12,251711,megawatthours
2020-12-11,271734,megawatthours
2020-12-10,262369,megawatthours
2020-12-09,263458,megawatthours
2020-12-08,263039,megawatthours
2020-12-07,261712,megawatthours
2020-12-06,242527,megawatthours
2020-12-05,250784,megawatthours
2020-12-04,262140,megawatthours
2020-12-03,265790,megawatthours
2020-12-02,266149,megawatthours
2020-12-01,267281,megawatthours
2020-11-30,264296,megawatthours
2020-11-29,239423,megawatthours
2020-11-28,239908,megawatthours
2020-11-27,237253,megawatthours
2020-11-26,236200,megawatthours
2020-11-25,255182,megawatthours
2020-11-24,256844,megawatthours
2020-11-23,254451,megawatthours
2020-11-22,235232,megawatthours
2020-11-21,240864,megawatthours
2020-11-20,257598,megawatthours
2020-11-19,252020,megawatthours
2020-11-18,253802,megawatthours
2020-11-17,259120,megawatthours
2020-11-16,244795,megawatthours
2020-11-15,228473,megawatthours
2020-11-14,235037,megawatthours
2020-11-13,264141,megawatthours
2020-11-12,256456,megawatthours
2020-11-11,256386,megawatthours
2020-11-10,259987,megawatthours
2020-11-09,254223,megawatthours
2020-11-08,227242,megawatthours
2020-11-07,228772,megawatthours
2020-11-06,252468,megawatthours
2020-11-05,256336,megawatthours
2020-11-04,254652,megawatthours
2020-11-03,250984,megawatthours
2020-11-02,249053,megawatthours
2020-11-01,237749,megawatthours
2020-10-31,234731,megawatthours
2020-10-30,251956,megawatthours
2020-10-29,254648,megawatthours
2020-10-28,249964,megawatthours
2020-10-27,245599,megawatthours
2020-10-26,239812,megawatthours
2020-10-25,232798,megawatthours
2020-10-24,243392,megawatthours
2020-10-23,256640,megawatthours
2020-10-22,262321,megawatthours
2020-10-21,274624,megawatthours
2020-10-20,274708,megawatthours
2020-10-19,276647,megawatthours
2020-10-18,258933,megawatthours
2020-10-17,277336,megawatthours
2020-10-16,298842,megawatthours
2020-10-15,294222,megawatthours
2020-10-14,287765,megawatthours
2020-10-13,279442,megawatthours
2020-10-12,263778,megawatthours
2020-10-11,239133,megawatthours
2020-10-10,253322,megawatthours
2020-10-09,264833,megawatthours
2020-10-08,260683,megawatthours
2020-10-07,273008,megawatthours
2020-10-06,282024,megawatthours
2020-10-05,284244,megawatthours
2020-10-04,272414,megawatthours
2020-10-03,293031,megawatthours
2020-10-02,315949,megawatthours
2020-10-01,324096,megawatthours
2020-09-30,316523,megawatthours
2020-09-29,317327,megawatthours
2020-09-28,329947,megawatthours
2020-09-27,291371,megawatthours
2020-09-26,282268,megawatthours
2020-09-25,286988,megawatthours
2020-09-24,302554,megawatthours
2020-09-23,295328,megawatthours
2020-09-22,292937,megawatthours
2020-09-21,293880,megawatthours
2020-09-20,271451,megawatthours
2020-09-19,271141,megawatthours
2020-09-18,289559,megawatthours
2020-09-17,297634,megawatthours
2020-09-16,296819,megawatthours
